,PLAYER_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,GP,MIN_PerGame,FGM_PerGame,FGA_PerGame,FG_PCT_PerGame,FG3M_PerGame,FG3A_PerGame,FG3_PCT_PerGame,FTM_PerGame,FTA_PerGame,FT_PCT_PerGame,REB_PerGame,AST_PerGame,TOV_PerGame,STL_PerGame,BLK_PerGame,PTS_PerGame,PLUS_MINUS_PerGame,NBA_FANTASY_PTS_PerGame,OFF_RATING_PerGame,DEF_RATING_PerGame,NET_RATING_PerGame,AST_PCT_PerGame,AST_TO_PerGame,OREB_PCT_PerGame,DREB_PCT_PerGame,TS_PCT_PerGame,USG_PCT_PerGame,PIE_PerGame,PTS_Per100Possessions,PF_Per100Possessions,CONTESTED_SHOTS_Per36,DEFLECTIONS_Per36,CHARGES_DRAWN_Per36,SCREEN_ASSISTS_Per36,LOOSE_BALLS_RECOVERED_Per36,BOX_OUTS_Per36,PCT_STL_PerGame,PCT_BLK_PerGame,PCT_PLUSMINUS_PerGame,POTENTIAL_AST_PerGame,SCO,PLY,REB,DEF,HST,IMP,OVERALL
272,1642349,Mitchell,Ajay,1610612760,Oklahoma City,Thunder,OKC,25,G,6-4,190,12,28.2,6.1,13.2,0.462,1.3,3.7,0.364,3.7,4.0,0.917,3.9,3.9,1.6,1.8,0.3,17.2,9.6,32.2,116.7,100.1,16.6,0.204,2.47,0.029,0.099,0.575,0.241,0.132,28.5,4.1,3.7,4.6,0.0,0.1,0.5,0.4,0.296,0.1,-0.122,7.4,0.43277028941695866,0.5442267504430364,-0.5219607169111358,1.4931422142299389,-0.1501576227915742,1.263521607838193,55.50924232222208
273,1630558,Mitchell,Davion,1610612748,Miami,Heat,MIA,45,G,6-0,202,11,30.1,3.8,7.8,0.488,1.0,2.8,0.355,0.7,1.4,0.533,2.7,7.6,1.8,1.5,0.1,9.4,0.7,27.2,114.1,113.5,0.6,0.319,4.2,0.017,0.063,0.556,0.139,0.082,14.0,4.7,3.6,2.6,0.3,0.4,0.9,0.3,0.254,0.053,-0.014,13.0,-0.7170474397085858,2.0124759619121737,-0.9569687613126687,0.20474342466688505,0.33538823733958906,-0.1851604842272443,53.26306121206101
274,1628378,Mitchell,Donovan,1610612739,Cleveland,Cavaliers,CLE,45,G,6-2,215,10,33.8,10.4,20.4,0.51,4.2,10.4,0.404,5.4,6.4,0.844,4.4,5.4,2.9,1.5,0.4,30.4,11.8,46.6,123.0,107.5,15.5,0.249,1.86,0.02,0.104,0.655,0.3,0.176,40.7,2.7,3.2,4.3,0.0,0.7,0.7,0.5,0.231,0.125,-0.021,13.0,1.7083498646792967,1.151416658206299,-0.6202167067085709,0.40184539561119537,-0.1344467746281222,1.8035614766703785,59.058141380845356
275,1630596,Mobley,Evan,1610612739,Cleveland,Cavaliers,CLE,4,C,6-11,215,11,33.9,7.3,15.2,0.479,1.7,5.0,0.345,3.8,6.0,0.636,8.6,4.3,2.5,1.5,1.5,20.1,4.9,43.4,119.4,111.0,8.4,0.187,1.74,0.073,0.168,0.564,0.239,0.131,27.7,3.0,10.8,3.1,0.0,1.4,0.6,1.1,0.229,0.405,-0.04,9.6,0.32046103730624087,0.49072381610509547,0.685677427371331,0.8201533586016221,0.1820737051526916,0.8531100916345034,55.704899437582824
277,1628370,Monk,Malik,1610612758,Sacramento,Kings,SAC,0,G,6-3,200,8,24.4,5.3,10.1,0.519,2.3,4.6,0.486,1.8,2.0,0.875,1.6,2.5,1.0,0.9,0.6,14.5,1.4,23.7,110.6,108.6,2.0,0.15,2.5,0.01,0.052,0.659,0.204,0.11,26.9,3.9,3.7,2.6,0.2,0.7,0.7,0.2,0.167,0.25,0.083,3.8,0.7387462630842649,-0.05878080255592057,-1.1482129644892518,-0.8389422873500678,0.012841355115589564,0.2601534758852889,49.414527648406754
278,1630541,Moody,Moses,1610612744,Golden State,Warriors,GSW,4,G,6-5,211,10,22.6,3.5,8.3,0.422,2.6,6.0,0.433,2.0,2.4,0.833,2.6,1.5,1.2,0.9,1.0,11.6,2.0,21.5,107.3,102.7,4.6,0.107,1.25,0.013,0.095,0.62,0.196,0.097,24.1,3.7,5.4,4.8,0.0,0.3,0.6,0.2,0.191,0.385,-0.051,4.1,0.3411017001382421,-0.5243651282839421,-0.8163433790720781,0.7006477620706594,0.078479979159201,0.21071948609671362,50.13659666466438
279,1629630,Morant,Ja,1610612763,Memphis,Grizzlies,MEM,12,G,6-2,174,11,30.8,6.2,17.5,0.352,0.9,5.5,0.167,5.6,5.9,0.954,3.7,8.1,4.0,1.1,0.1,18.9,-4.9,35.1,106.3,113.8,-7.4,0.414,2.02,0.013,0.105,0.469,0.309,0.102,27.5,3.6,2.2,3.1,0.0,0.0,0.7,0.2,0.235,0.04,0.033,15.2,-0.09493087802600034,2.2920100699644617,-0.7500536359712914,-0.2602454377965443,-0.4441320400246858,-0.30273147872318684,54.307555386164026
281,1630530,Murphy III,Trey,1610612740,New Orleans,Pelicans,NOP,25,F,6-8,206,10,35.5,6.2,14.3,0.434,2.8,7.7,0.364,2.9,3.2,0.906,7.0,3.6,1.5,1.3,0.2,18.1,-10.0,34.9,105.3,119.1,-13.8,0.16,2.4,0.045,0.156,0.576,0.196,0.115,24.1,2.9,6.0,2.7,0.0,0.7,0.7,0.3,0.186,0.087,0.058,7.8,0.09644502097038382,0.31894747685682323,0.09654695697335422,-0.5826737475872877,-0.23755975942980356,-0.437239611089059,49.35268501835358
282,1627750,Murray,Jamal,1610612743,Denver,Nuggets,DEN,27,G,6-4,215,8,33.2,8.4,17.4,0.482,2.4,6.6,0.358,3.6,3.8,0.967,5.3,5.6,2.1,1.3,0.4,22.8,9.8,40.2,122.2,108.4,13.9,0.243,2.65,0.024,0.129,0.598,0.264,0.143,32.4,2.1,3.7,2.2,0.0,0.7,0.3,0.1,0.222,0.143,-0.001,11.4,0.8336026654250985,1.1400163400235581,-0.42834159779238096,0.22433612395773073,-0.7249918012783957,1.2811474576187298,55.54529331388061
283,1631200,Murray,Kris,1610612757,Portland,Trail Blazers,POR,24,F,6-8,218,9,21.8,2.2,4.9,0.455,0.3,1.6,0.214,0.4,0.7,0.667,2.6,1.0,0.7,1.1,0.2,5.2,-1.1,13.1,111.7,114.0,-2.3,0.06,1.5,0.043,0.072,0.504,0.104,0.042,11.0,4.2,5.3,4.6,0.0,0.2,1.3,2.0,0.238,0.111,-0.046,1.8,-1.24698596326684,-0.9329108491144145,-0.33730912710225314,0.5208634531262518,0.20953753124594426,-0.8648885238456383,44.95437466885391
